chr,start,end,state,median,integer_median,integer_copy_number,cell_id
1,14000001,156000000,3,1.0611346,2.0572778,2.0,SA501X4XB00794-A90703ABC-R03-C30
1,156000001,249500000,4,1.5551882,3.0151257,3.0,SA501X4XB00794-A90703ABC-R03-C30
2,1,26500000,2,0.4990059,0.9674491,1.0,SA501X4XB00794-A90703ABC-R03-C30
2,26500001,51500000,3,1.0198319,1.977202,2.0,SA501X4XB00794-A90703ABC-R03-C30
2,51500001,64000000,5,2.1116934,4.0940518,4.0,SA501X4XB00794-A90703ABC-R03-C30
2,64000001,160000000,3,1.0602438,2.0555507,2.0,SA501X4XB00794-A90703ABC-R03-C30
2,160000001,177000000,2,0.5501239,1.0665542,1.0,SA501X4XB00794-A90703ABC-R03-C30
2,177000001,243500000,3,1.0369235,2.0103384,2.0,SA501X4XB00794-A90703ABC-R03-C30
3,1,34500000,3,1.0395055,2.0153442,2.0,SA501X4XB00794-A90703ABC-R03-C30
3,34500001,86500000,2,0.5266847,1.0211115,1.0,SA501X4XB00794-A90703ABC-R03-C30
3,86500001,111500000,3,0.9950844,1.9292227,2.0,SA501X4XB00794-A90703ABC-R03-C30
3,111500001,152000000,4,1.5624155,3.0291376,3.0,SA501X4XB00794-A90703ABC-R03-C30
3,152000001,180500000,5,2.0466216,3.9678936,4.0,SA501X4XB00794-A90703ABC-R03-C30
3,180500001,198500000,2,0.463278,0.8981816,1.0,SA501X4XB00794-A90703ABC-R03-C30
4,1,70500000,2,0.5276107,1.0229068,1.0,SA501X4XB00794-A90703ABC-R03-C30
4,70500001,136500000,3,0.9714136,1.8833309,2.0,SA501X4XB00794-A90703ABC-R03-C30
4,136500001,151500000,4,1.470177,2.8503099,3.0,SA501X4XB00794-A90703ABC-R03-C30
4,151500001,191500000,2,0.4817873,0.9340666,1.0,SA501X4XB00794-A90703ABC-R03-C30
5,1,54000000,3,1.0432713,2.0226453,2.0,SA501X4XB00794-A90703ABC-R03-C30
5,54000001,127000000,2,0.4721139,0.9153122,1.0,SA501X4XB00794-A90703ABC-R03-C30
5,127000001,150500000,3,1.113585,2.1589662,2.0,SA501X4XB00794-A90703ABC-R03-C30
5,150500001,181000000,2,0.4884146,0.9469152,1.0,SA501X4XB00794-A90703ABC-R03-C30
6,1,14000000,5,2.1096278,4.090047,4.0,SA501X4XB00794-A90703ABC-R03-C30
6,14000001,32000000,4,1.5980524,3.0982287,3.0,SA501X4XB00794-A90703ABC-R03-C30
6,32000001,77000000,3,1.031591,2.0,2.0,SA501X4XB00794-A90703ABC-R03-C30
6,77000001,93500000,4,1.4755959,2.8608159,3.0,SA501X4XB00794-A90703ABC-R03-C30
6,93500001,114500000,6,2.4694416,4.7876371,5.0,SA501X4XB00794-A90703ABC-R03-C30
6,114500001,158000000,5,2.1624679,4.1924909,4.0,SA501X4XB00794-A90703ABC-R03-C30
6,158000001,171500000,2,0.5031694,0.9755211,1.0,SA501X4XB00794-A90703ABC-R03-C30
7,1,137000000,3,0.9969679,1.9328743,2.0,SA501X4XB00794-A90703ABC-R03-C30
7,137000001,159500000,2,0.5103794,0.9894996,1.0,SA501X4XB00794-A90703ABC-R03-C30
8,1,68000000,2,0.4986746,0.9668069,1.0,SA501X4XB00794-A90703ABC-R03-C30
8,68000001,78000000,7,3.7689556,7.3070736,7.0,SA501X4XB00794-A90703ABC-R03-C30
8,78000001,92500000,3,0.9942611,1.9276266,2.0,SA501X4XB00794-A90703ABC-R03-C30
8,92500001,100000000,2,0.5024227,0.9740736,1.0,SA501X4XB00794-A90703ABC-R03-C30
8,100000001,146500000,4,1.6362758,3.1723344,3.0,SA501X4XB00794-A90703ABC-R03-C30
9,1,141500000,3,1.0467495,2.0293887,2.0,SA501X4XB00794-A90703ABC-R03-C30
10,1,118000000,3,0.9634508,1.867893,2.0,SA501X4XB00794-A90703ABC-R03-C30
10,118000001,136000000,2,0.5585123,1.0828174,1.0,SA501X4XB00794-A90703ABC-R03-C30
11,1,34000000,3,1.059227,2.0535794,2.0,SA501X4XB00794-A90703ABC-R03-C30
11,34000001,46000000,4,1.6112442,3.1238043,3.0,SA501X4XB00794-A90703ABC-R03-C30
11,46000001,100000000,3,1.0476812,2.031195,2.0,SA501X4XB00794-A90703ABC-R03-C30
11,100000001,135500000,2,0.5274599,1.0226145,1.0,SA501X4XB00794-A90703ABC-R03-C30
12,1,47000000,3,1.0177565,1.9731784,2.0,SA501X4XB00794-A90703ABC-R03-C30
12,47000001,68000000,2,0.4846634,0.9396426,1.0,SA501X4XB00794-A90703ABC-R03-C30
12,68000001,134000000,3,1.0153182,1.9684512,2.0,SA501X4XB00794-A90703ABC-R03-C30
13,1,39000000,3,1.0324373,2.0016407,2.0,SA501X4XB00794-A90703ABC-R03-C30
13,39000001,83500000,2,0.4920902,0.9540412,1.0,SA501X4XB00794-A90703ABC-R03-C30
13,83500001,115500000,3,1.0424981,2.0211463,2.0,SA501X4XB00794-A90703ABC-R03-C30
14,1,93500000,2,0.5252778,1.0183838,1.0,SA501X4XB00794-A90703ABC-R03-C30
14,93500001,107500000,4,1.6690441,3.2358641,3.0,SA501X4XB00794-A90703ABC-R03-C30
15,1,58000000,3,1.007673,1.9536289,2.0,SA501X4XB00794-A90703ABC-R03-C30
15,58000001,67000000,4,1.72439,3.3431662,3.0,SA501X4XB00794-A90703ABC-R03-C30
15,67000001,103000000,3,1.0098751,1.9578983,2.0,SA501X4XB00794-A90703ABC-R03-C30
16,1,5000000,2,0.560106,1.0859072,1.0,SA501X4XB00794-A90703ABC-R03-C30
16,5000001,15500000,7,2.8238424,5.4747326,5.0,SA501X4XB00794-A90703ABC-R03-C30
16,15500001,90500000,3,1.0080801,1.9544182,2.0,SA501X4XB00794-A90703ABC-R03-C30
17,1,39500000,2,0.5120352,0.9927098,1.0,SA501X4XB00794-A90703ABC-R03-C30
17,39500001,47500000,3,0.9136818,1.7714032,2.0,SA501X4XB00794-A90703ABC-R03-C30
17,47500001,81500000,4,1.5021911,2.9123774,3.0,SA501X4XB00794-A90703ABC-R03-C30
18,1,7500000,2,0.3892825,0.7547225,1.0,SA501X4XB00794-A90703ABC-R03-C30
18,7500001,26000000,3,1.023438,1.9841933,2.0,SA501X4XB00794-A90703ABC-R03-C30
18,26000001,32500000,2,0.5108649,0.9904408,1.0,SA501X4XB00794-A90703ABC-R03-C30
18,32500001,56000000,3,1.080828,2.0954584,2.0,SA501X4XB00794-A90703ABC-R03-C30
18,56000001,78500000,6,2.5682243,4.9791523,5.0,SA501X4XB00794-A90703ABC-R03-C30
19,1,59500000,3,1.0008377,1.9403771,2.0,SA501X4XB00794-A90703ABC-R03-C30
20,1,30000000,2,0.46498,0.9014813,1.0,SA501X4XB00794-A90703ABC-R03-C30
20,30000001,43000000,3,1.0806425,2.0950988,2.0,SA501X4XB00794-A90703ABC-R03-C30
20,43000001,50500000,2,0.4440282,0.8608609,1.0,SA501X4XB00794-A90703ABC-R03-C30
20,50500001,63500000,3,0.9446143,1.8313736,2.0,SA501X4XB00794-A90703ABC-R03-C30
21,1,39000000,3,1.0771224,2.0882742,2.0,SA501X4XB00794-A90703ABC-R03-C30
21,39000001,48500000,2,0.5632097,1.0919245,1.0,SA501X4XB00794-A90703ABC-R03-C30
22,1,51500000,3,1.1417715,2.2136127,2.0,SA501X4XB00794-A90703ABC-R03-C30
X,1,155500000,2,0.4944026,0.9585244,1.0,SA501X4XB00794-A90703ABC-R03-C30
Y,1,59500000,1,0.0,0.0,0.0,SA501X4XB00794-A90703ABC-R03-C30
1,1,12500000,2,0.4513,0.8788118,1.0,SA501X4XB00794-A90703ABC-R03-C39
1,12500001,156000000,3,1.08532,2.1134323,2.0,SA501X4XB00794-A90703ABC-R03-C39
1,156000001,249500000,4,1.4930566,2.9074135,3.0,SA501X4XB00794-A90703ABC-R03-C39
2,1,26000000,2,0.5408175,1.0531282,1.0,SA501X4XB00794-A90703ABC-R03-C39
2,26000001,53000000,3,1.0669811,2.0777211,2.0,SA501X4XB00794-A90703ABC-R03-C39
2,53000001,63500000,5,2.1537884,4.1940495,4.0,SA501X4XB00794-A90703ABC-R03-C39
2,63500001,160000000,3,0.9867301,1.9214491,2.0,SA501X4XB00794-A90703ABC-R03-C39
2,160000001,176500000,2,0.5472884,1.0657289,1.0,SA501X4XB00794-A90703ABC-R03-C39
2,176500001,243500000,3,1.0384843,2.0222295,2.0,SA501X4XB00794-A90703ABC-R03-C39
3,1,34500000,3,1.1627292,2.2641703,2.0,SA501X4XB00794-A90703ABC-R03-C39
3,34500001,86500000,2,0.547338,1.0658256,1.0,SA501X4XB00794-A90703ABC-R03-C39
3,86500001,113500000,3,1.0204259,1.9870646,2.0,SA501X4XB00794-A90703ABC-R03-C39
3,113500001,151500000,4,1.5491689,3.0166804,3.0,SA501X4XB00794-A90703ABC-R03-C39
3,151500001,180500000,5,1.9281866,3.7547375,4.0,SA501X4XB00794-A90703ABC-R03-C39
3,180500001,198500000,2,0.4975628,0.9688988,1.0,SA501X4XB00794-A90703ABC-R03-C39
4,1,71500000,2,0.5032018,0.9798796,1.0,SA501X4XB00794-A90703ABC-R03-C39
4,71500001,135500000,3,0.9596387,1.8686944,2.0,SA501X4XB00794-A90703ABC-R03-C39
4,135500001,151500000,4,1.4835457,2.8888929,3.0,SA501X4XB00794-A90703ABC-R03-C39
4,151500001,191500000,2,0.5092742,0.9917043,1.0,SA501X4XB00794-A90703ABC-R03-C39
5,1,54500000,3,1.0803224,2.1037005,2.0,SA501X4XB00794-A90703ABC-R03-C39
5,54500001,127000000,2,0.5082507,0.9897113,1.0,SA501X4XB00794-A90703ABC-R03-C39
5,127000001,152500000,3,1.0445488,2.034039,2.0,SA501X4XB00794-A90703ABC-R03-C39
5,152500001,181000000,2,0.5440836,1.0594883,1.0,SA501X4XB00794-A90703ABC-R03-C39
6,1,15000000,5,2.0083339,3.9108075,4.0,SA501X4XB00794-A90703ABC-R03-C39
6,15000001,32500000,4,1.5261256,2.9718083,3.0,SA501X4XB00794-A90703ABC-R03-C39
6,32500001,77000000,3,1.0139329,1.9744208,2.0,SA501X4XB00794-A90703ABC-R03-C39
6,77000001,93000000,4,1.4559511,2.8351582,3.0,SA501X4XB00794-A90703ABC-R03-C39
6,93000001,145500000,6,2.4115861,4.6960563,5.0,SA501X4XB00794-A90703ABC-R03-C39
6,145500001,158000000,4,1.4909213,2.9032555,3.0,SA501X4XB00794-A90703ABC-R03-C39
6,158000001,171500000,2,0.5055084,0.9843713,1.0,SA501X4XB00794-A90703ABC-R03-C39
7,1,135500000,3,0.9797546,1.9078658,2.0,SA501X4XB00794-A90703ABC-R03-C39
7,135500001,159500000,2,0.5425495,1.056501,1.0,SA501X4XB00794-A90703ABC-R03-C39
8,1,67500000,2,0.5094583,0.9920627,1.0,SA501X4XB00794-A90703ABC-R03-C39
8,67500001,77500000,7,3.4022207,6.6251087,7.0,SA501X4XB00794-A90703ABC-R03-C39
8,77500001,91500000,3,1.0238885,1.9938073,2.0,SA501X4XB00794-A90703ABC-R03-C39
8,91500001,100000000,2,0.5793626,1.1281868,1.0,SA501X4XB00794-A90703ABC-R03-C39
8,100000001,146500000,4,1.5512059,3.020647,3.0,SA501X4XB00794-A90703ABC-R03-C39
9,1,141500000,3,1.0315266,2.0086809,2.0,SA501X4XB00794-A90703ABC-R03-C39
10,1,119000000,3,1.0284817,2.0027516,2.0,SA501X4XB00794-A90703ABC-R03-C39
10,119000001,136000000,2,0.579494,1.1284426,1.0,SA501X4XB00794-A90703ABC-R03-C39
11,1,34000000,3,1.0495513,2.0437801,2.0,SA501X4XB00794-A90703ABC-R03-C39
11,34000001,46000000,4,1.7068453,3.323722,3.0,SA501X4XB00794-A90703ABC-R03-C39
11,46000001,101500000,3,1.0408485,2.0268333,2.0,SA501X4XB00794-A90703ABC-R03-C39
11,101500001,135500000,2,0.5025196,0.9785512,1.0,SA501X4XB00794-A90703ABC-R03-C39
12,1,46500000,3,0.9844921,1.917091,2.0,SA501X4XB00794-A90703ABC-R03-C39
12,46500001,69000000,2,0.5295949,1.0312746,1.0,SA501X4XB00794-A90703ABC-R03-C39
12,69000001,134000000,3,1.0986203,2.1393318,2.0,SA501X4XB00794-A90703ABC-R03-C39
13,1,38500000,3,0.9643955,1.8779572,2.0,SA501X4XB00794-A90703ABC-R03-C39
13,38500001,82000000,2,0.4763036,0.927501,1.0,SA501X4XB00794-A90703ABC-R03-C39
13,82000001,115500000,3,1.0270687,2.0,2.0,SA501X4XB00794-A90703ABC-R03-C39
14,1,93000000,2,0.5101738,0.9934561,1.0,SA501X4XB00794-A90703ABC-R03-C39
14,93000001,107500000,4,1.6849773,3.2811385,3.0,SA501X4XB00794-A90703ABC-R03-C39
15,1,103000000,3,1.0553819,2.0551342,2.0,SA501X4XB00794-A90703ABC-R03-C39
16,1,6000000,3,0.7050879,1.3730102,1.0,SA501X4XB00794-A90703ABC-R03-C39
16,6000001,15500000,7,2.6491355,5.1586337,5.0,SA501X4XB00794-A90703ABC-R03-C39
16,15500001,90500000,3,1.0320558,2.0097113,2.0,SA501X4XB00794-A90703ABC-R03-C39
17,1,40000000,2,0.4652806,0.9060361,1.0,SA501X4XB00794-A90703ABC-R03-C39
17,40000001,47500000,3,0.9354312,1.8215554,2.0,SA501X4XB00794-A90703ABC-R03-C39
17,47500001,81500000,4,1.5072255,2.9350043,3.0,SA501X4XB00794-A90703ABC-R03-C39
18,1,8000000,2,0.5094548,0.992056,1.0,SA501X4XB00794-A90703ABC-R03-C39
18,8000001,56000000,3,0.9847758,1.9176435,2.0,SA501X4XB00794-A90703ABC-R03-C39
18,56000001,78500000,6,2.4880283,4.8449113,5.0,SA501X4XB00794-A90703ABC-R03-C39
19,1,59500000,3,0.9681061,1.8851828,2.0,SA501X4XB00794-A90703ABC-R03-C39
20,1,30000000,2,0.5282063,1.0285707,1.0,SA501X4XB00794-A90703ABC-R03-C39
20,30000001,63500000,3,0.9285591,1.8081734,2.0,SA501X4XB00794-A90703ABC-R03-C39
21,1,48500000,3,1.0364131,2.0181963,2.0,SA501X4XB00794-A90703ABC-R03-C39
22,1,51500000,3,1.0036617,1.9544199,2.0,SA501X4XB00794-A90703ABC-R03-C39
X,1,155500000,2,0.5061213,0.9855646,1.0,SA501X4XB00794-A90703ABC-R03-C39
Y,1,59500000,1,0.0,0.0,0.0,SA501X4XB00794-A90703ABC-R03-C39
1,1,16000000,2,0.4297053,0.925081,1.0,SA501X4XB00794-A90703ABC-R03-C44
1,16000001,158000000,3,0.9554925,2.0570099,2.0,SA501X4XB00794-A90703ABC-R03-C44
1,158000001,249500000,4,1.4659168,3.1558648,3.0,SA501X4XB00794-A90703ABC-R03-C44
2,1,26500000,2,0.4410899,0.9495901,1.0,SA501X4XB00794-A90703ABC-R03-C44
2,26500001,42000000,5,1.894206,4.0778972,4.0,SA501X4XB00794-A90703ABC-R03-C44
2,42000001,63500000,7,3.2590573,7.0161856,7.0,SA501X4XB00794-A90703ABC-R03-C44
2,63500001,114500000,3,0.8354976,1.7986817,2.0,SA501X4XB00794-A90703ABC-R03-C44
2,114500001,139500000,6,2.6308465,5.6637566,6.0,SA501X4XB00794-A90703ABC-R03-C44
2,139500001,160000000,4,1.7379708,3.7415499,4.0,SA501X4XB00794-A90703ABC-R03-C44
2,160000001,177500000,2,0.4408329,0.9490367,1.0,SA501X4XB00794-A90703ABC-R03-C44
2,177500001,243500000,3,0.8784796,1.8912144,2.0,SA501X4XB00794-A90703ABC-R03-C44
3,1,33500000,3,0.9749686,2.0989385,2.0,SA501X4XB00794-A90703ABC-R03-C44
3,33500001,87000000,2,0.4841015,1.0421866,1.0,SA501X4XB00794-A90703ABC-R03-C44
3,87000001,114000000,3,0.9449521,2.0343181,2.0,SA501X4XB00794-A90703ABC-R03-C44
3,114000001,180500000,4,1.6302743,3.5096982,4.0,SA501X4XB00794-A90703ABC-R03-C44
3,180500001,198500000,2,0.4313022,0.928519,1.0,SA501X4XB00794-A90703ABC-R03-C44
4,1,70500000,2,0.4456081,0.9593171,1.0,SA501X4XB00794-A90703ABC-R03-C44
4,70500001,135500000,3,0.893489,1.923527,2.0,SA501X4XB00794-A90703ABC-R03-C44
4,135500001,151500000,4,1.4280365,3.0743151,3.0,SA501X4XB00794-A90703ABC-R03-C44
4,151500001,191500000,2,0.4454912,0.9590654,1.0,SA501X4XB00794-A90703ABC-R03-C44
5,1,54000000,3,0.979787,2.1093116,2.0,SA501X4XB00794-A90703ABC-R03-C44
5,54000001,127000000,2,0.453702,0.9767417,1.0,SA501X4XB00794-A90703ABC-R03-C44
5,127000001,151000000,3,1.0099551,2.1742582,2.0,SA501X4XB00794-A90703ABC-R03-C44
5,151000001,181000000,2,0.4729934,1.0182729,1.0,SA501X4XB00794-A90703ABC-R03-C44
6,1,15000000,5,2.085644,4.4900301,4.0,SA501X4XB00794-A90703ABC-R03-C44
6,15000001,31500000,4,1.3808469,2.9727241,3.0,SA501X4XB00794-A90703ABC-R03-C44
6,31500001,93500000,3,1.0458869,2.2516134,2.0,SA501X4XB00794-A90703ABC-R03-C44
6,93500001,148000000,6,2.3785834,5.120678,5.0,SA501X4XB00794-A90703ABC-R03-C44
6,148000001,158000000,4,1.5812373,3.4041299,3.0,SA501X4XB00794-A90703ABC-R03-C44
6,158000001,171500000,2,0.4365146,0.9397403,1.0,SA501X4XB00794-A90703ABC-R03-C44
7,1,135500000,3,0.8816028,1.8979382,2.0,SA501X4XB00794-A90703ABC-R03-C44
7,135500001,159500000,2,0.4112415,0.8853318,1.0,SA501X4XB00794-A90703ABC-R03-C44
8,1,68000000,2,0.4835032,1.0408987,1.0,SA501X4XB00794-A90703ABC-R03-C44
8,68000001,78000000,7,3.4111492,7.3436132,7.0,SA501X4XB00794-A90703ABC-R03-C44
8,78000001,89500000,3,0.8546335,1.8398778,2.0,SA501X4XB00794-A90703ABC-R03-C44
8,89500001,100500000,2,0.5610135,1.2077648,1.0,SA501X4XB00794-A90703ABC-R03-C44
8,100500001,146500000,4,1.4300862,3.0787278,3.0,SA501X4XB00794-A90703ABC-R03-C44
9,1,141500000,3,0.9470503,2.0388352,2.0,SA501X4XB00794-A90703ABC-R03-C44
10,1,115500000,3,0.9391073,2.0217353,2.0,SA501X4XB00794-A90703ABC-R03-C44
10,115500001,136000000,2,0.4858921,1.0460415,1.0,SA501X4XB00794-A90703ABC-R03-C44
11,1,34000000,2,0.486788,1.0479702,1.0,SA501X4XB00794-A90703ABC-R03-C44
11,34000001,99000000,3,0.9667205,2.0811817,2.0,SA501X4XB00794-A90703ABC-R03-C44
11,99000001,135500000,2,0.4838413,1.0416265,1.0,SA501X4XB00794-A90703ABC-R03-C44
12,1,46500000,3,0.8938162,1.9242314,2.0,SA501X4XB00794-A90703ABC-R03-C44
12,46500001,68500000,2,0.4500981,0.9689832,1.0,SA501X4XB00794-A90703ABC-R03-C44
12,68500001,134000000,3,0.9812734,2.1125116,2.0,SA501X4XB00794-A90703ABC-R03-C44
13,1,39000000,3,0.9948759,2.1417955,2.0,SA501X4XB00794-A90703ABC-R03-C44
13,39000001,83500000,2,0.4173147,0.8984062,1.0,SA501X4XB00794-A90703ABC-R03-C44
13,83500001,115500000,3,0.9443508,2.0330236,2.0,SA501X4XB00794-A90703ABC-R03-C44
14,1,93000000,2,0.4122534,0.8875101,1.0,SA501X4XB00794-A90703ABC-R03-C44
14,93000001,107500000,4,1.5496504,3.3361288,3.0,SA501X4XB00794-A90703ABC-R03-C44
15,1,103000000,3,0.9290111,2.0,2.0,SA501X4XB00794-A90703ABC-R03-C44
16,1,6000000,2,0.6313409,1.3591675,1.0,SA501X4XB00794-A90703ABC-R03-C44
16,6000001,15500000,7,2.4256781,5.2220646,5.0,SA501X4XB00794-A90703ABC-R03-C44
16,15500001,90500000,3,0.8587381,1.8487143,2.0,SA501X4XB00794-A90703ABC-R03-C44
17,1,41000000,2,0.4845251,1.0430985,1.0,SA501X4XB00794-A90703ABC-R03-C44
17,41000001,81500000,7,3.8799151,8.3527849,8.0,SA501X4XB00794-A90703ABC-R03-C44
18,1,7500000,2,0.3619233,0.7791581,1.0,SA501X4XB00794-A90703ABC-R03-C44
18,7500001,56000000,3,0.9208531,1.9824371,2.0,SA501X4XB00794-A90703ABC-R03-C44
18,56000001,78500000,6,2.4529104,5.2806912,5.0,SA501X4XB00794-A90703ABC-R03-C44
